UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,EquipmentHealth
ENB205PSXBS052,10,51.833333333,5.1833333333,343.34195030857643,2018-02-05,6.631074606433949,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-05,0.0,0.0
ENB205PSXBS0520,10,18.833333334,1.8833333334,319.34195030857643,2018-04-04,6.4722792607802875,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-04,0.0,0.0
ENB205PSXBS0521,10,764.066666667,76.4066666667,319.34195030857643,2018-04-10,6.455852156057495,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-10,0.0,0.0
ENB205PSXBS0522,10,53.7,5.37,319.34195030857643,2018-04-14,6.444900752908967,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-14,0.0,0.0
ENB205PSXBS0523,10,45.216666667,4.5216666667,319.34195030857643,2018-04-14,6.444900752908967,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-14,0.0,0.0
ENB205PSXBS0524,10,41.583333333,4.1583333333,312.34195030857643,2018-04-14,6.444900752908967,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-14,0.0,0.0
ENB205PSXBS0525,10,83.5,8.35,310.34195030857643,2018-04-14,6.444900752908967,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-14,0.0,0.0
ENB205PSXBS0526,10,14.55,1.455,310.34195030857643,2018-04-14,6.444900752908967,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-14,0.0,0.0
ENB205PSXBS0527,10,17.933333333,1.7933333333,306.34195030857643,2018-04-18,6.433949349760438,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-18,0.0,0.0
ENB205PSXBS0528,10,35.583333333,3.5583333333,303.34195030857643,2018-04-18,6.433949349760438,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-18,0.0,0.0
