UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,HealthPercentage,MAE,RMSE,R-squared,F-statistic
ENB205UC8,5,10.166666667,2.0333333334,460.3419503085764,2018-05-11,6.3709787816564,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-05-11,0.06433367950282598,1.2866735900565196,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC9,5,12.033333333,2.4066666666,460.3419503085764,2018-05-12,6.368240930869268,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-05-12,0.06580724610251254,1.3161449220502508,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UCC1,4,9.333333333999999,2.3333333334999997,1671.3419503085763,2019-02-21,5.587953456536619,1.0,10.0,4.412046543463381,,2025-09-23 08:12:24.506661,2025-09-23,2029-02-21,5.154301714319419,51.54301714319419,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UCC2,3,7.116666667,2.3722222223333334,1671.3419503085763,2019-02-21,5.587953456536619,1.0,10.0,4.412046543463381,,2025-09-23 08:12:24.506661,2025-09-23,2029-02-21,5.160147798654695,51.60147798654695,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UCC3,1,3.633333333,3.633333333,1655.3419503085763,2020-03-13,4.531143052703627,1.0,10.0,5.468856947296373,,2025-09-23 08:12:24.506661,2025-09-23,2030-03-13,6.113029980303107,61.13029980303107,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UICLN1,16,47.75,2.984375,297.34195030857643,2023-10-09,0.9582477754962354,2.0,10.0,9.041752224503764,,2025-09-23 08:12:24.506661,2025-03-24,2033-10-09,8.750143639557955,87.50143639557955,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UICLN2,16,47.5,2.96875,261.34195030857643,2023-10-28,0.9062286105407256,2.0,10.0,9.093771389459274,,2025-09-23 08:12:24.506661,2025-03-24,2033-10-28,8.783934925313746,87.83934925313746,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UICLN3,16,51.75,3.234375,261.34195030857643,2023-10-28,0.9062286105407256,2.0,10.0,9.093771389459274,,2025-09-23 08:12:24.506661,2025-03-24,2033-10-28,8.783635710517881,87.8363571051788,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UasDL110561,4,10.333333333,2.58333333325,1926.3419503085763,2018-10-20,5.927446954141,2.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-03-24,2023-10-20,0.9983567862165761,19.967135724331524,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205VN1,64,2725.866667024,42.59166667225,1666.3419503085763,2018-08-20,6.094455852156058,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-08-20,0.6195612996849458,12.391225993698916,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205WSTPK1,60,2530.3833330049997,42.173055550083326,297.34195030857643,2018-04-23,6.420260095824777,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-04-23,-0.16953134179242246,-3.3906268358484497,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ER201B1,26,3091.749999997,118.91346153834616,1664.3419503085763,2018-04-10,6.455852156057495,1.0,0.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2018-04-10,-3.6141275181399264,-inf,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ER201B2,26,2482.049999969,95.46346153726924,1664.3419503085763,2018-04-10,6.455852156057495,1.0,0.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2018-04-10,-3.6202099439342525,-inf,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ER201B3,26,1006.233333299,38.70128204996154,1664.3419503085763,2018-04-10,6.455852156057495,1.0,0.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2018-04-10,-3.634932832831479,-inf,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
